Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,50.919998,51.009998,49.480000,50.090000,46.500183,2824600
2020-01-03,49.320000,49.799999,49.139999,49.360001,45.822510,1876300
2020-01-06,49.259998,49.820000,48.930000,49.770000,46.203125,2410200
2020-01-07,49.610001,49.990002,49.330002,49.790001,46.221687,1818700
2020-01-08,49.680000,50.310001,49.259998,50.060001,46.472340,1727100
2020-01-09,50.200001,50.439999,49.669998,50.299999,46.695141,1747000
2020-01-10,50.400002,50.720001,49.880001,50.630001,47.001492,2298200
2020-01-13,50.529999,50.560001,49.799999,50.439999,46.825104,2526500
2020-01-14,50.939999,52.459999,50.939999,52.450001,48.691048,3186300
2020-01-15,52.270000,54.119999,52.040001,53.810001,49.953587,4023200
2020-01-16,54.169998,54.520000,53.610001,54.419998,50.519871,2710300
2020-01-17,54.529999,54.639999,53.630001,53.930000,50.064987,2566400
2020-01-21,53.889999,54.400002,53.500000,54.009998,50.139259,1874000
2020-01-22,54.369999,55.490002,54.220001,55.320000,51.355370,3059800
2020-01-23,55.209999,55.220001,54.540001,54.869999,50.937614,3333100
2020-01-24,54.950001,54.950001,52.750000,53.820000,49.962872,2107200
2020-01-27,52.849998,53.590000,52.020000,53.380001,49.554405,2511400
2020-01-28,53.759998,54.080002,53.150002,53.799999,49.944298,2089200
2020-01-29,53.930000,54.400002,53.410000,53.740002,49.888607,1748600
2020-01-30,53.490002,53.869999,52.509998,53.290001,49.470856,1919500
2020-01-31,53.000000,53.169998,50.900002,51.209999,47.539917,7692100
2020-02-03,51.430000,52.180000,51.090000,51.259998,47.586330,1905500
2020-02-04,52.060001,52.680000,51.540001,51.590000,47.892685,3443800
2020-02-05,52.090000,53.450001,52.040001,52.680000,48.904575,5655600
2020-02-06,57.549999,59.799999,56.840000,58.259998,54.084671,6735000
2020-02-07,59.090000,60.480000,57.740002,58.240002,54.066097,4384700
2020-02-10,58.250000,59.700001,58.000000,59.189999,54.948009,3616600
2020-02-11,59.250000,59.470001,58.349998,59.410000,55.152248,2611300
2020-02-12,60.000000,60.689999,59.689999,60.130001,55.820648,2290600
2020-02-13,59.540001,60.320000,59.369999,59.400002,55.142963,1953300
2020-02-14,59.189999,59.790001,57.610001,59.619999,55.347202,3284900
2020-02-18,59.599998,59.990002,58.779999,59.009998,54.780914,2276300
2020-02-19,58.900002,59.369999,58.660000,59.349998,55.096550,1896900
2020-02-20,59.090000,60.529999,58.759998,60.419998,56.089863,2688000
2020-02-21,60.169998,60.389999,59.500000,59.720001,55.440033,2275400
2020-02-24,58.209999,58.939999,57.910000,58.139999,53.973267,2105300
2020-02-25,58.500000,58.799999,55.259998,55.439999,51.466766,2764400
2020-02-26,55.450001,56.750000,54.990002,55.009998,51.067581,3160700
2020-02-27,54.240002,55.380001,52.240002,52.250000,48.505386,4825700
2020-02-28,50.580002,52.150002,49.490002,52.119999,48.384705,6367000
2020-03-02,52.310001,54.020000,51.770000,54.020000,50.148537,4630300
2020-03-03,53.980000,54.889999,51.509998,52.959999,49.164497,3434500
2020-03-04,54.790001,56.090000,53.230000,54.630001,50.714821,4431300
2020-03-05,53.209999,54.160000,51.820000,52.480000,48.718903,3369700
2020-03-06,50.860001,52.169998,50.029999,51.270000,47.595619,2889200
2020-03-09,48.000000,49.740002,47.110001,47.930000,44.494991,4876900
2020-03-10,49.200001,49.820000,46.900002,49.709999,46.147423,3013700
2020-03-11,48.459999,49.330002,47.610001,48.650002,45.163391,3576300
2020-03-12,45.750000,46.000000,42.360001,42.389999,39.352024,4218300
2020-03-13,44.380001,47.750000,42.560001,47.619999,44.207203,4410300
2020-03-16,42.590000,46.869999,42.160000,44.220001,41.050873,3499900
2020-03-17,44.919998,48.549999,43.599998,47.759998,44.337170,3982900
2020-03-18,45.099998,49.189999,41.500000,45.700001,42.424805,3776200
