Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,88.389999,88.440002,86.959999,87.309998,82.884911,2447500
2020-01-03,86.070000,87.639999,85.910004,87.180000,82.761490,1713600
2020-01-06,86.470001,87.919998,86.250000,87.910004,83.454514,2270100
2020-01-07,87.790001,89.209999,87.459999,88.410004,83.929169,2040900
2020-01-08,88.209999,89.370003,87.860001,88.650002,84.157005,2047000
2020-01-09,89.430000,89.489998,88.430000,89.370003,84.840500,2225700
2020-01-10,89.580002,90.739998,89.339996,90.650002,86.055634,2452200
2020-01-13,90.639999,91.279999,90.360001,91.260002,86.634720,2138000
2020-01-14,90.980003,91.830002,90.260002,90.470001,85.884750,1994300
2020-01-15,87.599998,89.870003,87.290001,88.919998,84.413315,3783400
2020-01-16,89.529999,89.809998,88.550003,88.949997,84.441788,2007000
2020-01-17,89.449997,90.330002,88.349998,89.940002,85.381630,3406600
2020-01-21,89.449997,91.699997,89.410004,90.239998,85.666420,3611200
2020-01-22,90.930000,91.169998,88.959999,89.269997,84.745583,2003300
2020-01-23,88.860001,90.309998,88.360001,89.820000,85.267708,1620000
2020-01-24,90.269997,90.269997,88.769997,89.440002,84.906960,1209600
2020-01-27,87.790001,88.830002,87.349998,87.800003,83.350082,1718300
2020-01-28,88.400002,89.300003,87.820000,88.889999,84.384842,1458100
2020-01-29,89.379997,90.099998,88.099998,88.120003,83.653862,2623500
2020-01-30,87.050003,87.589996,85.910004,87.099998,82.685562,2048900
2020-01-31,86.690002,86.959999,84.529999,84.690002,80.397705,2841700
2020-02-03,85.389999,86.370003,84.910004,85.260002,80.938820,2170400
2020-02-04,86.529999,87.239998,86.440002,86.690002,82.296341,1795600
2020-02-05,87.680000,89.879997,87.360001,89.500000,84.963928,2315800
2020-02-06,90.029999,90.580002,88.540001,88.639999,84.147507,2018200
2020-02-07,88.250000,88.769997,86.480003,87.019997,82.609612,1987100
2020-02-10,86.889999,88.730003,86.870003,88.699997,84.204460,2311500
2020-02-11,89.379997,90.070000,88.720001,89.889999,85.334152,1799500
2020-02-12,90.279999,91.199997,90.010002,90.930000,86.321449,1578000
2020-02-13,90.480003,91.309998,90.199997,90.400002,85.818314,1725400
2020-02-14,91.000000,91.150002,89.860001,90.209999,85.637932,1221200
2020-02-18,89.510002,90.760002,89.199997,90.160004,85.590477,1544500
2020-02-19,90.529999,91.230003,90.199997,90.940002,86.330940,1422900
2020-02-20,91.080002,91.989998,90.570000,91.930000,87.270760,2212200
2020-02-21,91.339996,91.620003,89.620003,90.260002,85.685402,1877800
2020-02-24,86.169998,88.000000,85.050003,85.500000,81.166656,2880900
2020-02-25,86.650002,86.760002,81.669998,81.889999,77.739609,2900900
2020-02-26,82.830002,84.830002,82.150002,82.180000,78.014915,3465900
2020-02-27,79.500000,82.470001,78.000000,78.309998,74.341057,5770800
2020-02-28,76.059998,77.980003,73.339996,75.650002,71.815880,4756400
2020-03-02,76.250000,79.620003,74.309998,79.610001,75.575157,3898300
2020-03-03,79.199997,81.430000,75.820000,76.550003,72.670258,2731400
2020-03-04,78.500000,80.480003,77.089996,80.410004,76.334625,3110300
2020-03-05,77.830002,79.370003,77.010002,77.870003,73.923355,2771400
2020-03-06,75.349998,76.690002,72.059998,73.820000,70.078621,3047400
2020-03-09,67.739998,69.730003,66.059998,66.870003,63.480865,3959200
2020-03-10,69.389999,70.610001,66.419998,70.120003,66.566147,2767700
2020-03-11,67.839996,68.040001,63.840000,65.370003,62.056889,3652400
2020-03-12,59.990002,60.240002,55.200001,55.400002,52.592186,3948400
2020-03-13,59.000000,61.480000,54.389999,61.060001,57.965324,4209700
2020-03-16,54.000000,57.389999,49.009998,57.299999,54.395893,5346600
2020-03-17,58.320000,61.230000,55.320000,60.320000,57.262836,7026600
2020-03-18,55.200001,57.950001,49.900002,54.000000,51.734867,5066800
2020-03-19,52.509998,59.209999,48.110001,54.750000,52.453407,4186700
2020-03-20,55.610001,58.000000,51.590000,51.650002,49.483448,3851900
2020-03-23,50.480000,53.000000,49.009998,50.689999,48.563705,4753100
2020-03-24,54.160000,60.860001,53.270000,59.200001,56.716743,3909400
2020-03-25,59.759998,64.980003,56.529999,60.560001,58.019699,3706300
2020-03-26,61.750000,64.360001,60.509998,62.880001,60.242378,2567500
2020-03-27,60.490002,64.779999,59.650002,62.470001,59.849575,2589100
2020-03-30,61.779999,62.230000,58.410000,59.750000,57.243668,4584200
2020-03-31,59.730000,60.730000,56.400002,57.000000,54.609032,4804200
2020-04-01,54.700001,56.240002,53.020000,53.900002,51.639061,3620800
2020-04-02,53.130001,55.060001,51.709999,52.759998,50.546879,3455400
2020-04-03,52.349998,54.180000,51.810001,53.480000,51.236679,2390200
2020-04-06,56.950001,60.689999,55.900002,60.150002,57.626896,2634200
2020-04-07,64.699997,65.309998,61.610001,61.750000,59.159779,2623600
2020-04-08,63.130001,65.339996,62.540001,64.449997,61.746521,3348600
2020-04-09,65.940002,68.089996,64.750000,65.989998,63.221916,2729200
2020-04-13,65.599998,68.730003,64.720001,68.339996,65.473351,3104900
2020-04-14,69.489998,70.000000,68.029999,69.849998,66.920013,2723000
2020-04-15,66.720001,67.919998,64.300003,64.760002,62.043522,2800300
2020-04-16,64.580002,65.730003,63.590000,64.980003,62.254295,1697500
2020-04-17,67.349998,70.989998,67.250000,70.400002,67.446945,3422100
2020-04-20,69.360001,71.610001,68.660004,69.790001,66.862534,2290000
2020-04-21,68.050003,69.059998,67.050003,67.800003,64.956009,1913400
2020-04-22,69.400002,69.900002,67.930000,68.980003,66.086502,1255300
2020-04-23,68.739998,70.580002,68.089996,69.599998,66.680496,1679000
2020-04-24,70.389999,72.300003,69.730003,71.879997,68.864853,1589600
