Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,61.970001,62.820000,61.799999,62.770000,58.825916,1670000
2020-01-03,61.950001,62.490002,61.209999,61.700001,57.823154,1429800
2020-01-06,61.130001,62.009998,61.119999,61.549999,57.682575,1005400
2020-01-07,61.669998,62.200001,61.240002,61.950001,58.057438,1575000
2020-01-08,62.230000,63.380001,61.980000,63.139999,59.172668,1801500
2020-01-09,63.619999,64.169998,62.970001,63.459999,59.472565,2009200
2020-01-10,63.599998,63.709999,62.849998,63.130001,59.163303,1794500
2020-01-13,63.389999,64.470001,63.389999,64.110001,60.081722,1627400
2020-01-14,64.040001,64.279999,63.610001,63.779999,59.772457,1433300
2020-01-15,63.950001,64.540001,63.830002,64.190002,60.156696,1470100
2020-01-16,64.489998,65.379997,64.190002,65.379997,61.271915,2221600
2020-01-17,63.320000,63.810001,61.930000,62.419998,58.497910,4240500
2020-01-21,62.160000,62.599998,60.410000,60.560001,56.754784,2623100
2020-01-22,60.830002,61.270000,60.169998,60.470001,56.670441,2119700
2020-01-23,60.590000,60.619999,59.080002,60.570000,56.764153,2171100
2020-01-24,60.549999,60.910000,59.060001,59.810001,56.051910,1486600
2020-01-27,58.400002,58.889999,57.759998,58.160000,54.505585,2043200
2020-01-28,58.299999,58.400002,56.849998,56.919998,53.343491,3157600
2020-01-29,57.130001,57.130001,55.500000,55.540001,52.050209,2950100
2020-01-30,54.799999,55.689999,54.070000,54.849998,51.403568,2411300
2020-01-31,54.580002,54.689999,53.169998,53.400002,50.044674,2271200
2020-02-03,53.500000,54.799999,53.490002,54.040001,50.644459,1764300
2020-02-04,55.310001,56.439999,55.099998,55.880001,52.368843,1901000
2020-02-05,57.029999,57.970001,56.730000,57.799999,54.168198,2237000
2020-02-06,58.060001,58.459999,57.340000,58.150002,54.496208,1166900
2020-02-07,57.840000,57.900002,57.240002,57.340000,53.737106,1252500
2020-02-10,56.880001,58.099998,56.880001,58.060001,54.411869,1551400
2020-02-11,58.759998,59.820000,58.369999,59.080002,55.367775,2268900
2020-02-12,59.450001,60.959999,59.220001,60.820000,56.998451,4480500
2020-02-13,53.480000,55.599998,53.200001,55.180000,51.712826,10365600
2020-02-14,55.259998,55.340000,53.680000,54.240002,50.831894,3217300
2020-02-18,53.970001,54.139999,52.759998,53.430000,50.072788,2635300
2020-02-19,53.160000,54.169998,53.049999,53.209999,49.866611,1936000
2020-02-20,53.200001,53.799999,52.680000,53.709999,50.335190,2462700
2020-02-21,53.250000,53.349998,51.860001,52.000000,48.732639,3233200
2020-02-24,50.500000,50.730000,49.680000,50.099998,46.952023,2601600
2020-02-25,50.650002,51.000000,48.419998,48.799999,45.733707,2715800
2020-02-26,49.459999,50.290001,48.250000,48.480000,45.433815,2239200
2020-02-27,47.389999,48.660000,46.389999,46.869999,43.924976,3494600
2020-02-28,45.000000,46.840000,44.889999,46.720001,43.784409,5519100
2020-03-02,47.040001,47.619999,45.810001,47.570000,44.580994,3145600
2020-03-03,47.009998,48.189999,45.259998,45.910000,43.025295,2557800
2020-03-04,46.419998,46.419998,45.340000,46.340000,43.428284,2766000
2020-03-05,44.990002,45.380001,43.709999,43.930000,41.169708,2353600
2020-03-06,42.160000,44.150002,41.750000,44.000000,41.235310,4223800
2020-03-09,41.160000,42.570000,39.730000,39.860001,37.355442,2770100
2020-03-10,41.540001,43.509998,40.410000,43.490002,40.757359,3980900
2020-03-11,42.080002,42.360001,39.939999,40.450001,37.908371,2799100
2020-03-12,37.509998,39.000000,35.860001,35.910000,33.653633,3012000
2020-03-13,38.290001,40.799999,36.779999,40.799999,38.236378,3833300
