Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,51.419998,51.808750,50.775002,51.180000,51.180000,2498000
2020-01-03,50.000000,50.957500,49.619999,50.212502,50.212502,3067600
2020-01-06,49.697498,50.792500,49.500000,50.715000,50.715000,2064000
2020-01-07,50.715000,51.357498,50.325001,51.212502,51.212502,2131600
2020-01-08,51.212502,51.947498,51.157501,51.744999,51.744999,2695200
2020-01-09,52.125000,52.224998,51.482498,51.700001,51.700001,1901600
2020-01-10,51.799999,52.415001,51.535000,51.865002,51.865002,1826000
2020-01-13,52.012501,52.875000,51.974998,52.787498,52.787498,2429200
2020-01-14,52.977501,53.587502,52.777500,53.262501,53.262501,2588000
2020-01-15,52.755001,54.047501,52.680000,53.347500,53.347500,2324400
2020-01-16,53.997501,54.852501,53.642502,54.812500,54.812500,2557600
2020-01-17,55.000000,55.680000,54.793751,55.467499,55.467499,3984800
2020-01-21,55.327499,56.000000,54.825001,55.310001,55.310001,2479200
2020-01-22,55.500000,56.477501,55.417500,55.680000,55.680000,1809200
2020-01-23,56.035000,57.744999,55.369999,57.514999,57.514999,3388400
2020-01-24,58.687500,60.472500,58.584999,59.512501,59.512501,6435200
2020-01-27,57.525002,59.177502,56.855751,58.742500,58.742500,4802800
2020-01-28,58.860001,59.459999,58.687500,59.180000,59.180000,2464800
2020-01-29,59.459999,59.755001,58.630001,58.762501,58.762501,1808400
2020-01-30,57.277500,58.407501,57.037498,57.935001,57.935001,2764800
2020-01-31,57.634998,57.634998,55.709999,55.834999,55.834999,4003200
2020-02-03,56.412498,56.845001,55.910000,56.317501,56.317501,2257600
2020-02-04,57.137501,57.917500,56.980000,57.830002,57.830002,1974000
2020-02-05,58.450001,58.657501,57.388748,57.477501,57.477501,2632000
2020-02-06,57.689999,58.334999,57.257500,58.130001,58.130001,1859600
2020-02-07,57.645000,58.352501,57.621250,57.942501,57.942501,1881600
2020-02-10,57.525002,58.638748,57.377499,58.102501,58.102501,3240400
2020-02-11,58.452499,58.654999,57.564999,57.875000,57.875000,2838800
2020-02-12,57.957500,58.794998,57.757500,58.615002,58.615002,3344800
2020-02-13,58.125000,60.337502,58.099998,59.404999,59.404999,6124800
2020-02-14,54.375000,56.750000,54.250000,55.867500,55.867500,8458000
2020-02-18,55.794998,56.575001,55.097500,56.447498,56.447498,3444000
2020-02-19,56.492500,56.860001,55.757500,56.255001,56.255001,2876000
2020-02-20,56.099998,57.189999,55.910000,57.070000,57.070000,2988000
2020-02-21,55.872501,56.142502,55.067501,55.865002,55.865002,3858000
2020-02-24,52.497501,54.090000,52.337502,53.437500,53.437500,4122400
2020-02-25,54.095001,54.372501,50.627499,51.497501,51.497501,5114400
2020-02-26,51.775002,52.282501,50.702499,50.785000,50.785000,3289200
2020-02-27,49.762501,50.867500,48.262501,48.294998,48.294998,4396000
2020-02-28,46.752499,49.027500,46.445000,48.279999,48.279999,4868800
2020-03-02,48.669998,49.294998,47.537498,49.147499,49.147499,3664800
2020-03-03,49.122501,49.712502,47.154999,47.937500,47.937500,2795200
2020-03-04,49.432499,50.465000,48.320000,50.407501,50.407501,2856800
2020-03-05,49.232498,50.490002,48.974998,49.139999,49.139999,2240000
2020-03-06,47.889999,48.827499,46.697498,47.695000,47.695000,3861200
2020-03-09,44.347500,47.404999,44.347500,46.422501,46.422501,4709200
2020-03-10,47.377499,50.108749,46.117500,49.990002,49.990002,5438400
2020-03-11,48.669998,49.022499,45.288750,45.549999,45.549999,5840000
2020-03-12,42.165001,43.547501,40.645000,40.722500,40.722500,8269600
2020-03-13,42.867500,44.262501,39.357498,44.189999,44.189999,4293200
2020-03-16,40.290001,42.807499,39.222500,39.259998,39.259998,4118800
2020-03-17,40.227501,43.064999,39.413502,42.049999,42.049999,5978000
2020-03-18,39.432499,46.330002,39.432499,44.250000,44.250000,7952000
2020-03-19,43.932499,47.430000,43.162498,44.470001,44.470001,3732000
2020-03-20,45.132500,46.941750,40.877499,41.119999,41.119999,4574400
2020-03-23,40.987499,41.912498,39.157501,40.470001,40.470001,3926800
2020-03-24,42.930000,47.382500,42.748749,46.639999,46.639999,5895200
2020-03-25,46.875000,49.172001,46.257500,47.082500,47.082500,6058400
2020-03-26,47.167500,50.665001,46.633751,50.142502,50.142502,4749600
2020-03-27,48.305000,49.040001,47.446251,47.822498,47.822498,3661200
2020-03-30,47.752499,51.735001,47.270000,51.432499,51.432499,4160400
2020-03-31,51.095001,52.154499,49.805000,50.637501,50.637501,4528400
2020-04-01,48.647499,49.889999,47.247501,48.192501,48.192501,3440800
2020-04-02,47.562500,49.532501,47.264999,48.525002,48.525002,2654000
2020-04-03,48.422501,49.427502,48.044998,48.660000,48.660000,3377600
2020-04-06,50.075001,52.142502,49.680000,51.900002,51.900002,3993200
2020-04-07,53.250000,53.860001,51.842499,52.285000,52.285000,3406400
2020-04-08,53.032501,53.967499,52.577499,53.647499,53.647499,3177200
2020-04-09,52.805000,53.125000,51.587502,52.477501,52.477501,5537600
2020-04-13,52.250000,52.750000,50.167500,50.520000,50.520000,3501200
